NODE,Total Profit ($)
PGSF_2_PDRP29-APND,-0.08519176999999956
PGSF_2_PDRP33-APND,-0.08519176999999956
PGSF_2_PDRP34-APND,-0.08519176999999956
PGSF_2_PDRP35-APND,-0.08519176999999956
PGSF_2_PDRP56-APND,-0.08519176999999956
PGSF_2_PDRP54-APND,-0.08519176999999956
PGSF_2_PDRP36-APND,-0.08519176999999956
PGSF_2_PDRP37-APND,-0.08519176999999956
PGSF_2_PDRP38-APND,-0.08519176999999956
PGSF_2_PDRP39-APND,-0.08519176999999956
PGSF_2_PDRP53-APND,-0.08519176999999956
PGSF_2_PDRP52-APND,-0.08519176999999956
PGSF_2_PDRP51-APND,-0.08519176999999956
PGSF_2_PDRP50-APND,-0.08519176999999956
PGSF_2_PDRP23-APND,-0.08519176999999956
PGSF_2_PDRP57-APND,-0.08519176999999956
SLAP_PGSF-APND,-0.10446588499999998
POD_MNDOTA_1_SOLAR1-APND,-0.1576290050000002
PGSI_1_PDRP49-APND,-0.16890682499999987
PGSI_1_PDRP51-APND,-0.16890682499999987
PGSI_1_PDRP40-APND,-0.16890682499999987
PGSI_1_PDRP37-APND,-0.16890682499999987
PGSI_1_PDRP36-APND,-0.16890682499999987
PGSI_1_PDRP35-APND,-0.16890682499999987
PGSI_1_PDRP33-APND,-0.16890682499999987
PGSI_1_PDRP31-APND,-0.16890682499999987
PGSI_1_PDRP29-APND,-0.16890682499999987
PGSI_1_PDRP28-APND,-0.16890682499999987
PGSI_1_PDRP27-APND,-0.16890682499999987
PGSI_1_PDRP26-APND,-0.16890682499999987
PGSI_1_PDRP22-APND,-0.16890682499999987
PGSI_1_PDRP25-APND,-0.16890682499999987
PGSI_1_PDRP44-APND,-0.16890682499999987
PGSI_1_PDRP24-APND,-0.16890682499999987
PGSI_1_PDRP23-APND,-0.16890682499999987
PGSI_1_PDRP45-APND,-0.16890682499999987
PGSI_1_PDRP46-APND,-0.16890682499999987
PGSI_1_RDRR02-APND,-0.16890682499999987
PGSI_1_PDRP48-APND,-0.16890682499999987
PGSI_1_PDRP59-APND,-0.16890682499999987
PGSI_1_PDRP53-APND,-0.16890682499999987
PGSI_1_PDRP42-APND,-0.16890682499999987
PGSI_1_PDRP52-APND,-0.16890682499999987
PGSI_1_PDRP43-APND,-0.16890682499999987
PGSI_1_PDRP17-APND,-0.16890682499999987
PGSI_1_PDRP16-APND,-0.16890682499999987
PGSI_1_PDRP15-APND,-0.16890682499999987
PGSI_1_PDRP09-APND,-0.16890682499999987
PGSI_1_PDRP100-APND,-0.16890682499999987
PGSI_1_PDRP12-APND,-0.16890682499999987
PGSI_1_PDRP13-APND,-0.16890682499999987
PGSI_1_PDRP11-APND,-0.16890682499999987
PGSI_1_PDRP02-APND,-0.16890682499999987
PGSI_1_PDRP10-APND,-0.16890682499999987
PGSI_1_PDRP04-APND,-0.16890682499999987
PGSI_1_PDRP20-APND,-0.16890682499999987
PGSI_1_PDRP21-APND,-0.16890682499999987
PGSI_1_PDRP101-APND,-0.16890682499999987
SLAP_PGSB-APND,-0.1709286399999999
POD_ADERA_1_SOLAR1-APND,-0.21207011999999997
POD_STANIS_7_UNIT 1-APND,-0.2264864050000005
SLAP_PGP2-APND,-0.2446026999999994
MLAP_NCPA-APND,-0.2754386850000002
PGSB_1_PDRP95-APND,-0.2983878549999999
PGSB_1_PDRP11-APND,-0.2983878549999999
PGSB_1_PDRP104-APND,-0.2983878549999999
PGSB_1_PDRP103-APND,-0.2983878549999999
PGSB_1_PDRP102-APND,-0.2983878549999999
PGSB_1_PDRP101-APND,-0.2983878549999999
PGSB_1_PDRP106-APND,-0.2983878549999999
PGSB_1_PDRP15-APND,-0.2983878549999999
PGSB_1_PDRP111-APND,-0.2983878549999999
PGSB_1_PDRP34-APND,-0.2983878549999999
PGSB_1_PDRP91-APND,-0.2983878549999999
PGSB_1_PDRP90-APND,-0.2983878549999999
PGSB_1_PDRP89-APND,-0.2983878549999999
PGSB_1_PDRP87-APND,-0.2983878549999999
PGSB_1_PDRP83-APND,-0.2983878549999999
PGSB_1_PDRP78-APND,-0.2983878549999999
PGSB_1_PDRP77-APND,-0.2983878549999999
PGSB_1_PDRP76-APND,-0.2983878549999999
PGSB_1_PDRP74-APND,-0.2983878549999999
PGSB_1_PDRP35-APND,-0.2983878549999999
PGSB_1_PDRP45-APND,-0.2983878549999999
PGSB_1_PDRP36-APND,-0.2983878549999999
PGSB_1_PDRP31-APND,-0.2983878549999999
PGSB_1_PDRP30-APND,-0.2983878549999999
PGSB_1_PDRP42-APND,-0.2983878549999999
PGSB_1_PDRP43-APND,-0.2983878549999999
PGSB_1_PDRP29-APND,-0.2983878549999999
PGSB_1_PDRP24-APND,-0.2983878549999999
PGSB_1_PDRP18-APND,-0.2983878549999999
PGSB_1_PDRP17-APND,-0.2983878549999999
PGSB_1_PDRP44-APND,-0.2983878549999999
PGSB_1_PDRP52-APND,-0.2983878549999999
PGSB_1_PDRP46-APND,-0.2983878549999999
PGSB_1_PDRPCUR01-APND,-0.2983878549999999
PGSB_1_PDRP70-APND,-0.2983878549999999
PGSB_1_PDRP71-APND,-0.2983878549999999
PGSB_1_PDRP72-APND,-0.2983878549999999
PGSB_1_PDRP73-APND,-0.2983878549999999
PGSB_1_PDRP08-APND,-0.2983878549999999
PGSB_1_RDRR02-APND,-0.2983878549999999
PGSB_1_PDRPCON01-APND,-0.2983878549999999
PGSB_1_PDRP68-APND,-0.2983878549999999
PGSB_1_PDRP99-APND,-0.2983878549999999
PGSB_1_PDRP97-APND,-0.2983878549999999
PGSB_1_PDRP96-APND,-0.2983878549999999
PGSB_1_PDRP04-APND,-0.2983878549999999
PGSB_1_PDRP94-APND,-0.2983878549999999
PGSB_1_PDRP32-APND,-0.2983878549999999
PGSB_1_PDRP69-APND,-0.2983878549999999
PGSB_1_PDRP67-APND,-0.2983878549999999
PGSB_1_PDRP47-APND,-0.2983878549999999
PGSB_1_PDRP55-APND,-0.2983878549999999
PGSB_1_PDRP48-APND,-0.2983878549999999
PGSB_1_PDRP49-APND,-0.2983878549999999
PGSB_1_PDRP50-APND,-0.2983878549999999
PGSB_1_PDRP51-APND,-0.2983878549999999
PGSB_1_PDRP53-APND,-0.2983878549999999
PGSB_1_PDRP54-APND,-0.2983878549999999
PGSB_1_PDRP56-APND,-0.2983878549999999
PGSB_1_PDRP66-APND,-0.2983878549999999
PGSB_1_PDRP57-APND,-0.2983878549999999
PGSB_1_PDRP58-APND,-0.2983878549999999
PGSB_1_PDRP60-APND,-0.2983878549999999
PGSB_1_PDRP10-APND,-0.2983878549999999
PGSB_1_PDRP63-APND,-0.2983878549999999
PGSB_1_PDRP64-APND,-0.2983878549999999
PGSB_1_PDRP33-APND,-0.2983878549999999
PGSB_1_PDRP92-APND,-0.2983878549999999
PGSB_1_PDRP93-APND,-0.2983878549999999
CLAP_BART-APND,-0.3190350699999997
POD_RUSCTY_2_UNITS-APND,-0.3355154900000004
RUSCTY_2_UNITS-APND,-0.3355574649999999
SLAP_PGST-APND,-0.36192903499999984
POD_BISHOP_1_UNITS-APND,-0.36797849499999985
POD_CONTRL_1_POOLE-APND,-0.36797849499999985
POD_CONTRL_1_QF-APND,-0.36797849499999985
CLAP_PLUMAS-APND,-0.3701105950000001
POD_BISHOP_1_ALAMO-APND,-0.39284057500000025
POD_DELTA_2_PL1X4-APND,-0.4060839750000001
DELTA_2_PL1X4-APND,-0.40649268500000046
POD_LMEC_1_PL1X3-APND,-0.4115909800000003
LMEC_1_PL1X3-APND,-0.4116396250000002
CLAP_LMEC-APND,-0.4116580250000002
POD_CUMBIA_1_SOLAR-APND,-0.41232031000000025
SHELRF_1_UNITS-APND,-0.4158878400000003
POD_UNOCAL_1_UNITS-APND,-0.41938970499999995
STOILS_1_UNITS-APND,-0.4209292100000003
SLAP_PGEB-APND,-0.42171799500000035
SCHLTE_1_PL1X3-APND,-0.4227360899999997
POD_CROKET_7_UNIT-APND,-0.4301834900000002
PGEB_2_PDRP47-APND,-0.43712362500000024
PGEB_2_PDRP60-APND,-0.43712362500000024
PGEB_2_PDRP58-APND,-0.43712362500000024
PGEB_2_PDRP57-APND,-0.43712362500000024
PGEB_2_PDRP56-APND,-0.43712362500000024
PGEB_2_PDRP55-APND,-0.43712362500000024
PGEB_2_PDRP54-APND,-0.43712362500000024
PGEB_2_PDRP53-APND,-0.43712362500000024
PGEB_2_PDRP52-APND,-0.43712362500000024
PGEB_2_PDRP51-APND,-0.43712362500000024
PGEB_2_PDRP50-APND,-0.43712362500000024
PGEB_2_PDRP49-APND,-0.43712362500000024
PGEB_2_PDRP48-APND,-0.43712362500000024
PGEB_2_PDRP35-APND,-0.43712362500000024
PGEB_2_PDRP46-APND,-0.43712362500000024
PGEB_2_PDRP45-APND,-0.43712362500000024
PGEB_2_PDRP44-APND,-0.43712362500000024
PGEB_2_PDRP43-APND,-0.43712362500000024
PGEB_2_PDRP42-APND,-0.43712362500000024
PGEB_2_PDRP41-APND,-0.43712362500000024
PGEB_2_PDRP37-APND,-0.43712362500000024
PGEB_2_PDRP36-APND,-0.43712362500000024
PGEB_2_PDRP62-APND,-0.43712362500000024
PGEB_2_PDRP34-APND,-0.43712362500000024
PGEB_2_PDRP31-APND,-0.43712362500000024
PGEB_2_PDRP30-APND,-0.43712362500000024
PGEB_2_PDRP29-APND,-0.43712362500000024
PGEB_2_PDRP61-APND,-0.43712362500000024
PGEB_2_PDRP73-APND,-0.43712362500000024
PGEB_2_PDRP63-APND,-0.43712362500000024
PGEB_2_PDRP80-APND,-0.43712362500000024
PGEB_2_RDRR02-APND,-0.43712362500000024
PGEB_2_RDRR01-APND,-0.43712362500000024
PGEB_2_PDRP98-APND,-0.43712362500000024
PGEB_2_PDRP97-APND,-0.43712362500000024
PGEB_2_PDRP96-APND,-0.43712362500000024
PGEB_2_PDRP95-APND,-0.43712362500000024
PGEB_2_PDRP93-APND,-0.43712362500000024
PGEB_2_PDRP85-APND,-0.43712362500000024
PGEB_2_PDRP84-APND,-0.43712362500000024
PGEB_2_PDRP83-APND,-0.43712362500000024
PGEB_2_PDRP82-APND,-0.43712362500000024
