INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2025-04-07T15:00:00-00:00,2025-04-07T16:00:00-00:00,2025-04-07,9,0,POD_ADLIN_1_UNITS-APND,POD_ADLIN_1_UNITS-APND,POD_ADLIN_1_UNITS-APND,DAM,MCC,LMP_CONG_PRC,POD_ADLIN_1_UNITS-APND,ALL_APNODES,0,-89.40409,2
2025-04-07T08:00:00-00:00,2025-04-07T09:00:00-00:00,2025-04-07,2,0,POD_ADLIN_1_UNITS-APND,POD_ADLIN_1_UNITS-APND,POD_ADLIN_1_UNITS-APND,DAM,MCC,LMP_CONG_PRC,POD_ADLIN_1_UNITS-APND,ALL_APNODES,0,-35.85003,2
2025-04-07T07:00:00-00:00,2025-04-07T08:00:00-00:00,2025-04-07,1,0,POD_ADLIN_1_UNITS-APND,POD_ADLIN_1_UNITS-APND,POD_ADLIN_1_UNITS-APND,DAM,MCC,LMP_CONG_PRC,POD_ADLIN_1_UNITS-APND,ALL_APNODES,0,-24.29746,2
2025-04-07T10:00:00-00:00,2025-04-07T11:00:00-00:00,2025-04-07,4,0,POD_ADLIN_1_UNITS-APND,POD_ADLIN_1_UNITS-APND,POD_ADLIN_1_UNITS-APND,DAM,MCC,LMP_CONG_PRC,POD_ADLIN_1_UNITS-APND,ALL_APNODES,0,-36.56366,2
2025-04-08T04:00:00-00:00,2025-04-08T05:00:00-00:00,2025-04-07,22,0,POD_ADLIN_1_UNITS-APND,POD_ADLIN_1_UNITS-APND,POD_ADLIN_1_UNITS-APND,DAM,MCC,LMP_CONG_PRC,POD_ADLIN_1_UNITS-APND,ALL_APNODES,0,-36.2231,2
2025-04-08T00:00:00-00:00,2025-04-08T01:00:00-00:00,2025-04-07,18,0,POD_ADLIN_1_UNITS-APND,POD_ADLIN_1_UNITS-APND,POD_ADLIN_1_UNITS-APND,DAM,MCC,LMP_CONG_PRC,POD_ADLIN_1_UNITS-APND,ALL_APNODES,0,-77.37175,2
2025-04-08T05:00:00-00:00,2025-04-08T06:00:00-00:00,2025-04-07,23,0,POD_ADLIN_1_UNITS-APND,POD_ADLIN_1_UNITS-APND,POD_ADLIN_1_UNITS-APND,DAM,MCC,LMP_CONG_PRC,POD_ADLIN_1_UNITS-APND,ALL_APNODES,0,-35.25813,2
2025-04-07T14:00:00-00:00,2025-04-07T15:00:00-00:00,2025-04-07,8,0,POD_ADLIN_1_UNITS-APND,POD_ADLIN_1_UNITS-APND,POD_ADLIN_1_UNITS-APND,DAM,MCC,LMP_CONG_PRC,POD_ADLIN_1_UNITS-APND,ALL_APNODES,0,-114.33609,2
2025-04-07T21:00:00-00:00,2025-04-07T22:00:00-00:00,2025-04-07,15,0,POD_ADLIN_1_UNITS-APND,POD_ADLIN_1_UNITS-APND,POD_ADLIN_1_UNITS-APND,DAM,MCC,LMP_CONG_PRC,POD_ADLIN_1_UNITS-APND,ALL_APNODES,0,-73.23912,2
2025-04-07T13:00:00-00:00,2025-04-07T14:00:00-00:00,2025-04-07,7,0,POD_ADLIN_1_UNITS-APND,POD_ADLIN_1_UNITS-APND,POD_ADLIN_1_UNITS-APND,DAM,MCC,LMP_CONG_PRC,POD_ADLIN_1_UNITS-APND,ALL_APNODES,0,-122.59442,2
